Rendimientos;Covarianza
17;11
17;11
18;12
18;12
18;12
19;13
19;13
18;12
19;13
19;14
19;14
19;14
19;14
19;14
19;14
19;14
20;14
19;14
18;13
18;13
18;13
18;13
19;14
19;14
19;14
18;13
19;14
20;14
19;14
19;14
20;15
19;14
20;15
17;13
17;13
20;15
20;15
20;15
20;15
19;14
19;14
19;14
20;15
20;15
20;15
19;15
19;15
19;14
20;15
20;15
20;15
20;15
20;15
20;15
20;15
20;15
20;15
20;15
20;16
20;15
18;14
20;16
19;14
19;14
19;14
21;16
21;16
21;16
21;16
19;15
19;15
18;14
19;15
20;16
20;16
18;14
18;14
20;16
20;15
20;15
20;15
20;16
20;16
19;15
20;16
20;16
19;15
19;15
20;16
21;17
21;17
19;15
17;14
21;17
20;16
19;15
20;16
18;15
21;17
21;16
19;15
19;15
19;15
19;15
19;15
21;17
19;16
21;17
18;14
18;14
18;14
20;16
21;17
21;17
21;17
22;18
20;17
18;15
19;16
19;16
21;17
21;17
19;15
19;15
19;15
19;16
20;16
20;16
20;16
21;17
19;16
19;16
20;16
20;16
20;16
21;17
21;17
21;17
21;17
20;17
20;17
19;16
20;16
18;14
20;16
20;16
20;16
18;15
21;17
21;17
21;17
21;17
21;18
21;18
21;18
21;18
21;18
21;17
20;17
20;16
21;17
20;16
20;16
21;17
19;16
19;16
19;16
19;16
19;16
19;16
19;16
21;18
20;17
19;16
19;16
18;15
21;18
21;18
21;18
21;18
20;17
22;19
22;19
19;16
21;18
20;17
21;18
22;19
21;18
20;17
20;17
19;17
20;17
23;19
23;19
23;19
20;17
20;17
22;19
22;19
21;18
19;16
19;16
19;16
18;16
18;16
18;16
21;19
20;18
19;17
19;17
21;18
21;18
21;18
21;18
20;17
20;17
21;18
19;17
19;17
20;17
20;17
23;20
20;18
21;18
20;18
19;17
19;17
19;17
20;18
20;18
20;18
20;18
20;18
19;17
22;19
20;18
19;17
19;17
19;17
21;18
21;18
21;18
21;18
21;18
21;18
19;17
22;19
19;17
21;19
21;18
21;19
21;18
20;18
21;18
21;18
22;19
22;19
22;19
21;18
21;18
21;18
21;18
20;18
21;19
19;17
19;17
21;19
19;17
19;17
22;20
21;18
21;19
21;19
18;16
22;19
22;19
21;18
21;19
19;17
21;19
19;17
19;17
20;18
20;18
22;20
21;19
20;18
20;18
20;18
20;18
21;19
20;18
20;18
21;19
21;19
21;19
21;19
23;20
23;20
